gender,ethnicity,age,height,weight,hair_color,eye_color,country
0,0,53,1.84,62,0,0,0
1,1,68,2.01,85,1,0,0
0,2,22,1.85,76,1,5,0
0,1,68,1.66,59,5,1,0
0,2,66,1.99,51,3,1,0
1,1,40,1.67,85,1,0,0
1,2,40,1.88,84,4,3,0
0,0,58,1.45,70,5,4,0
1,1,31,1.56,96,3,4,0
0,0,64,1.67,76,5,5,0
0,0,71,1.95,102,0,3,0
0,2,23,1.66,107,3,3,0
0,2,63,1.86,99,4,5,0
1,1,52,1.75,77,3,0,0
1,1,58,2.05,65,1,3,0
1,2,52,1.53,55,1,2,0
1,2,46,2.04,109,3,1,0
0,2,66,2.01,76,1,3,0
1,2,68,1.84,58,4,1,0
0,1,73,1.98,89,1,0,0
0,1,67,2.04,55,5,1,0
0,0,68,1.95,94,5,5,0
1,2,29,1.82,89,3,6,0
0,0,44,1.74,97,4,6,0
0,0,35,1.89,54,5,0,0
0,2,56,1.87,81,0,6,0
1,2,35,1.72,57,5,1,0
1,1,48,1.48,85,4,0,0
1,1,53,1.55,70,1,4,0
1,0,57,1.66,69,0,6,0
1,0,62,1.58,108,0,0,0
1,2,62,1.51,90,0,3,0
1,0,62,1.59,77,1,6,0
1,1,34,1.8,84,3,2,0
1,0,54,1.92,60,0,3,0
1,0,56,1.63,58,5,3,0
1,1,66,1.87,63,4,5,0
0,2,68,1.72,54,5,5,0
1,2,39,1.57,81,4,6,0
1,0,37,1.82,66,2,5,0
0,0,52,1.58,86,6,4,0
0,2,72,1.75,94,2,5,0
0,0,58,1.77,91,4,4,0
0,2,41,1.91,81,2,4,0
1,0,60,1.6,108,2,1,0
1,0,43,1.75,79,2,2,0
0,0,69,1.98,77,3,2,0
1,2,64,1.64,65,5,1,0
1,1,51,1.91,107,6,5,0
0,1,27,1.57,63,2,4,0
0,0,49,1.7,75,3,2,0
0,1,40,1.86,84,5,5,0
0,0,67,1.49,94,5,6,0
0,0,25,1.88,71,3,6,0
0,1,24,1.71,50,1,0,0
0,1,71,1.87,70,0,3,0
0,1,34,2.03,105,1,2,0
0,2,37,1.78,82,5,2,0
0,1,52,1.73,105,3,3,0
1,0,24,1.48,63,1,4,0
1,1,61,1.9,56,4,0,0
1,0,23,1.94,71,5,4,0
0,0,30,1.97,83,5,2,0
0,1,62,1.61,89,5,1,0
1,0,36,1.64,94,4,5,0
0,0,26,1.98,51,2,6,0
1,2,57,2.01,63,5,3,0
1,2,29,1.7,73,5,0,0
1,2,69,1.47,84,4,5,0
0,0,72,1.72,83,3,0,0
0,2,58,1.62,92,2,6,0
0,2,48,1.87,94,5,4,0
1,2,61,1.78,86,3,0,0
0,1,28,1.9,105,0,0,0
1,0,28,1.66,86,0,3,0
1,1,61,2.04,61,2,5,0
1,0,73,1.61,96,1,3,0
0,1,25,1.74,102,0,2,0
0,2,73,1.93,108,1,1,0
0,2,30,1.6,50,2,4,0
0,0,51,1.67,64,2,1,0
1,1,32,1.46,86,5,2,0
1,0,32,1.93,52,2,5,0
0,2,54,1.84,102,1,3,0
1,0,25,1.71,95,0,4,0
1,1,46,1.64,79,4,3,0
0,2,20,1.54,84,2,0,0
1,0,38,1.54,105,4,6,0
0,1,40,1.45,94,2,1,0
0,1,23,2.04,66,3,2,0
1,0,20,1.48,76,1,3,0
0,0,40,1.89,51,0,4,0
1,0,26,1.56,56,0,2,0
0,1,23,1.94,108,5,3,0
0,0,38,1.5,97,2,0,0
1,1,28,2,54,0,3,0
0,1,60,1.56,81,4,6,0
1,2,22,1.73,65,5,4,0
0,0,65,1.53,68,6,1,0
0,2,34,2.05,90,2,2,0
0,1,25,1.54,65,2,1,0
1,0,41,1.7,110,1,5,0
1,2,66,1.56,98,3,6,0
1,1,27,1.88,76,3,0,0
0,0,73,1.73,81,5,1,0
1,1,58,1.88,93,6,0,0
0,0,21,1.88,83,0,6,0
0,0,42,1.68,108,4,4,0
0,0,24,1.96,57,4,4,0
1,2,38,1.81,74,5,5,0
1,0,73,1.63,57,5,4,0
1,0,28,1.79,110,6,0,0
1,2,58,1.63,54,3,2,0
0,1,52,1.94,67,6,0,0
1,1,32,1.62,65,0,1,0
0,2,44,1.86,86,5,6,0
1,1,54,1.95,61,6,2,0
0,0,45,1.58,74,4,2,0
1,2,62,1.79,53,0,3,0
0,2,56,1.99,58,2,2,0
0,1,39,1.47,107,3,4,0
1,2,59,1.63,85,6,5,0
0,2,27,1.78,83,5,4,0
0,1,45,1.62,104,0,0,0
0,2,32,1.59,52,5,2,0
1,2,56,1.55,105,1,1,0
0,0,63,1.88,83,2,6,0
0,0,65,1.67,55,0,4,0
1,0,26,1.47,66,1,2,0
0,2,31,1.54,78,5,6,0
0,0,58,1.83,60,1,3,0
0,0,55,1.48,106,6,5,0
0,0,21,1.56,84,4,3,0
1,0,38,1.84,77,1,0,0
1,2,50,1.58,68,4,5,0
0,1,44,1.56,52,1,6,0
1,1,64,1.82,101,5,5,0
1,2,39,1.75,80,2,4,0
1,2,32,1.58,91,3,5,0
1,0,56,1.81,68,4,3,0
1,1,25,1.94,102,4,4,0
1,2,54,1.99,103,1,0,0
1,1,45,1.8,51,3,6,0
0,1,20,1.86,99,0,5,0
0,0,43,1.51,108,6,6,0
0,2,41,2.02,76,2,5,0
0,2,36,1.57,108,1,3,0
1,2,29,1.53,84,4,5,0
1,2,27,1.66,88,5,3,0
0,1,70,1.6,54,6,4,0
0,1,23,2.04,94,6,6,0
1,1,51,1.95,88,4,0,0
0,1,21,2.05,80,3,0,0
1,2,20,1.74,65,1,5,0
0,1,20,1.67,57,2,6,0
0,2,45,1.48,106,0,4,0
0,0,20,1.95,99,3,2,0
1,2,20,1.74,82,2,6,0
1,0,37,1.74,102,5,4,0
1,2,64,1.98,107,2,3,0
0,1,30,1.64,70,5,4,0
1,2,53,1.92,88,1,6,0
1,2,23,1.84,86,5,3,0
0,1,42,1.46,76,0,3,0
1,1,62,1.96,88,2,5,0
1,2,62,1.69,66,6,0,0
1,1,36,1.66,59,1,1,0
0,1,59,1.63,53,0,6,0
0,2,37,1.88,108,4,2,0
0,0,72,1.97,79,2,2,0
0,0,22,1.48,78,2,2,0
0,2,22,1.98,100,4,0,0
0,0,65,2.02,100,2,4,0
1,1,39,1.95,80,3,2,0
1,1,32,2.04,91,1,3,0
1,0,41,1.91,90,1,0,0
0,1,60,1.9,102,4,0,0
1,2,45,1.89,91,4,0,0
0,2,50,1.81,54,4,1,0
1,2,26,2.01,80,3,6,0
1,2,38,1.94,53,4,0,0
1,2,71,1.59,67,5,2,0
1,2,34,1.62,85,4,6,0
0,0,38,1.76,100,3,4,0
0,0,63,1.9,110,2,4,0
1,2,59,1.5,58,6,2,0
1,1,72,1.7,53,1,6,0
0,1,62,1.77,78,2,3,0
1,0,67,1.72,83,1,4,0
1,1,20,1.94,99,2,1,0
1,0,69,2.01,102,3,0,0
0,2,58,1.47,53,1,0,0
0,0,51,1.66,56,4,5,0
1,0,59,1.98,63,4,5,0
0,1,65,1.52,85,2,4,0
1,0,23,2.04,86,4,4,0
0,0,33,1.91,52,6,6,0
0,2,59,1.56,59,6,0,0
0,1,56,1.73,63,3,5,0
1,1,27,1.93,108,5,2,0
0,1,26,1.59,84,0,4,0
1,1,68,1.96,91,3,6,0
1,0,21,2.03,92,5,2,0
0,0,20,1.87,72,4,6,0
1,1,60,1.47,55,0,3,0
1,2,71,1.91,84,3,6,0
1,0,42,1.91,54,0,6,0
0,1,66,1.94,79,0,0,0
0,0,21,1.8,53,5,2,0
1,1,43,1.75,89,1,4,0
1,1,28,1.68,95,2,3,0
1,2,40,1.53,77,3,4,0
1,1,42,2.02,71,5,1,0
0,2,64,1.71,106,3,6,0
1,0,47,1.56,87,0,5,0
0,0,32,1.73,55,4,6,0
1,0,34,1.72,71,1,2,0
1,1,45,2.03,106,1,5,0
1,2,46,1.58,88,0,1,0
0,0,71,1.63,59,2,3,0
1,2,71,1.55,75,3,0,0
0,0,66,1.75,66,2,3,0
1,0,23,1.88,100,3,2,0
0,1,41,2,67,6,4,0
0,0,51,1.48,103,1,6,0
0,1,57,1.57,68,2,3,0
0,1,69,1.76,51,1,3,0
0,0,29,1.73,108,6,0,0
0,2,26,1.62,69,6,5,0
0,2,36,1.8,86,2,5,0
1,1,51,1.56,68,3,3,0
0,1,58,1.51,105,0,6,0
1,0,37,1.79,93,0,2,0
0,1,50,1.65,91,4,4,0
1,2,61,1.92,89,5,2,0
1,1,25,1.96,99,5,2,0
1,0,62,1.8,81,1,1,0
0,0,65,1.46,105,3,5,0
0,1,22,1.88,72,0,1,0
1,0,28,1.81,70,0,2,0
0,1,55,1.84,93,5,6,0
1,2,29,1.85,100,1,4,0
1,1,48,1.8,51,1,4,0
0,0,26,1.55,75,0,4,0
0,1,49,2.04,80,0,1,0
0,0,29,1.72,82,4,6,0
1,1,33,1.61,67,1,3,0
0,2,44,1.8,70,5,1,0
1,1,56,1.47,82,1,6,0
0,2,23,1.86,55,2,1,0
0,0,51,1.83,101,1,2,0
1,2,46,2.04,72,2,3,0
0,2,58,1.58,76,2,4,0
1,2,40,1.66,75,5,6,0
1,0,27,1.71,101,0,4,0
0,0,62,1.96,91,2,6,0
0,1,31,1.58,75,4,2,0
1,0,54,1.99,58,6,6,0
1,1,19,1.86,74,6,2,0
0,0,29,1.73,65,4,5,0
0,0,56,1.72,103,6,1,0
1,0,44,1.52,71,5,1,0
1,2,35,1.99,107,0,1,0
0,0,63,1.58,65,4,0,0
1,0,33,1.89,71,5,4,0
1,2,52,1.88,69,5,2,0
1,0,53,2.05,94,3,3,0
0,1,71,1.78,71,0,2,0
1,0,24,1.53,84,1,1,0
0,1,72,1.56,98,6,6,0
1,1,47,1.93,59,3,6,0
1,0,29,2.04,58,2,6,0
0,1,42,1.46,56,1,5,0
1,1,37,2.05,81,6,1,0
0,0,20,1.48,83,5,0,0
0,1,57,2.05,95,3,1,0
1,0,55,1.8,99,0,2,0
0,1,46,2.03,79,5,3,0
1,1,46,1.54,87,4,3,0
1,0,46,1.9,71,3,5,0
0,1,66,1.95,109,3,5,0
0,1,30,1.74,92,3,2,0
0,0,22,1.76,71,1,1,0
0,2,43,1.66,79,6,6,0
1,0,36,2,107,4,6,0
0,0,19,1.45,51,4,1,0
1,2,51,1.54,82,3,5,0
0,2,49,2.03,96,0,1,0
0,2,47,2.05,110,6,0,0
