gender,ethnicity,age,height,weight,hair_color,eye_color,country
0,0,53,1.84,62,0,0,0
1,1,68,2.01,85,1,0,0
1,1,65,1.94,103,1,1,1
0,2,69,1.59,52,2,2,2
0,2,28,1.53,72,3,3,3
0,1,22,1.8,68,0,0,4
0,0,67,1.65,74,4,4,5
0,1,40,1.88,105,0,5,6
1,2,64,1.51,67,3,6,4
0,2,44,1.6,79,2,6,7
0,0,33,1.77,82,1,0,8
0,0,55,1.93,97,2,5,9
0,0,57,1.73,91,5,4,10
1,0,54,1.91,108,3,5,11
0,1,19,1.51,72,5,3,12
0,1,48,1.56,95,5,4,13
1,1,74,1.64,100,3,2,8
0,1,53,1.68,90,1,5,14
0,0,69,1.89,73,5,5,15
0,2,19,1.76,95,3,3,16
1,2,43,1.66,66,3,2,17
0,0,74,1.99,71,2,1,18
0,2,68,1.97,101,0,6,12
1,2,45,1.88,60,5,5,9
1,2,31,1.56,68,3,6,9
0,0,29,1.87,70,5,2,19
1,1,40,1.88,73,5,2,1
1,2,44,1.64,60,2,4,15
0,1,58,1.47,68,5,6,20
0,0,28,1.9,66,4,6,17
0,0,30,1.47,60,5,6,21
0,1,38,2,76,6,0,19
1,1,62,1.97,101,5,6,22
1,0,65,1.51,68,4,1,23
1,2,61,2.05,55,6,4,24
0,2,56,1.8,90,0,2,13
1,1,44,1.81,91,5,3,25
1,2,42,1.45,103,0,6,24
1,0,20,1.64,55,3,3,26
1,2,25,1.96,96,2,4,15
0,1,54,1.75,104,4,4,4
1,2,50,1.76,58,3,4,17
1,0,52,1.76,50,1,5,27
1,2,66,1.49,54,2,5,4
1,1,62,1.8,105,0,4,28
0,0,35,1.58,105,0,5,29
0,2,22,1.85,76,1,5,0
0,2,42,1.54,85,4,2,30
0,1,53,2.02,57,0,4,12
1,1,63,1.67,68,0,3,31
0,2,37,1.62,63,0,2,32
1,0,39,1.99,51,5,1,33
1,2,42,1.85,64,2,3,12
1,2,19,1.89,99,1,5,26
1,2,36,1.77,50,5,5,34
0,1,72,1.79,92,6,4,35
0,0,29,1.68,69,5,6,4
0,2,47,1.92,59,0,5,11
1,2,64,2.02,65,1,4,36
1,1,28,1.96,82,5,4,25
1,0,37,1.95,98,2,1,37
0,2,59,1.77,64,6,2,38
0,2,27,1.79,87,6,0,39
1,1,55,1.67,96,1,1,40
1,0,37,2.02,60,0,3,41
0,1,68,1.66,59,5,1,0
1,1,24,1.6,63,1,2,18
1,2,57,1.67,63,3,0,42
1,0,21,1.68,82,4,4,43
1,2,61,1.48,78,6,4,4
0,1,65,1.89,69,0,5,44
1,1,44,1.82,87,1,4,10
0,1,29,1.99,70,1,2,2
0,1,52,1.78,70,6,0,37
0,1,64,1.52,68,4,1,27
0,2,45,1.72,53,0,1,45
0,1,29,1.83,86,6,6,46
1,2,54,1.68,96,3,2,47
1,0,31,1.51,84,0,4,1
1,0,68,1.55,70,6,5,48
1,1,23,1.93,107,1,1,32
1,0,22,1.51,80,0,6,13
0,0,64,1.88,108,3,6,4
0,1,71,1.49,105,3,1,14
0,2,66,1.99,51,3,1,0
0,2,19,1.62,58,5,5,49
1,2,70,1.56,81,2,6,42
0,2,33,1.52,67,0,0,16
1,0,38,2.03,51,5,6,27
1,0,58,1.68,58,3,0,8
0,1,69,1.59,86,0,3,50
0,2,30,2.03,70,5,4,47
1,1,35,1.76,82,5,1,5
0,2,64,1.52,105,3,2,51
1,1,40,1.67,85,1,0,0
0,0,37,1.5,84,5,0,52
0,0,72,1.58,74,5,4,40
1,2,61,1.54,70,4,1,53
1,0,25,1.95,106,5,4,40
1,2,38,1.46,102,2,2,54
1,0,52,1.91,85,4,5,48
0,2,33,1.53,68,1,3,48
0,2,50,1.68,55,0,6,35
1,1,72,1.65,104,3,2,34
0,0,30,1.78,68,6,3,48
0,2,23,1.69,95,1,5,6
0,1,68,1.48,62,3,2,50
1,0,28,1.67,71,5,1,25
1,0,68,1.78,93,6,3,37
0,0,36,1.93,58,4,2,31
1,0,20,1.87,58,4,1,55
0,2,33,1.79,51,5,1,8
0,1,21,1.8,93,0,6,6
1,2,64,2,108,4,3,46
1,2,40,1.88,84,4,3,0
1,1,34,2.03,77,3,0,24
1,1,72,1.66,90,6,0,56
1,0,61,1.66,57,6,1,53
0,0,46,1.78,107,6,3,10
1,1,48,1.69,89,0,2,7
1,1,65,1.73,57,0,0,31
1,0,38,1.55,61,5,6,57
0,1,30,1.76,51,6,3,29
0,1,58,1.61,63,0,4,29
1,1,61,1.66,54,3,6,6
1,2,34,1.79,68,2,6,20
1,0,39,1.9,87,6,4,32
1,1,21,1.96,58,0,1,50
0,1,56,1.9,78,5,0,29
0,2,50,1.69,54,1,6,1
0,0,31,1.71,95,5,6,54
0,1,60,1.68,65,2,4,23
1,1,60,1.46,100,3,3,38
1,2,31,1.5,53,5,0,58
0,1,63,1.52,76,2,2,51
1,0,41,1.96,110,2,1,22
1,0,31,1.69,91,4,4,28
0,2,41,1.52,89,2,2,16
1,2,38,1.64,88,0,0,40
0,2,59,2.04,55,4,3,37
0,2,27,1.6,90,3,2,44
1,1,21,1.99,90,1,3,59
1,0,37,1.9,77,5,0,49
1,0,66,1.78,93,3,5,23
1,2,34,1.85,98,2,6,60
0,0,36,1.6,91,2,3,43
0,2,68,1.92,100,1,1,38
1,2,26,1.87,88,2,6,32
1,0,46,1.92,84,2,2,9
1,0,67,1.74,102,3,6,40
1,1,70,1.82,93,2,3,21
1,1,71,2.04,97,1,4,14
1,1,25,1.59,104,6,0,5
0,1,30,1.91,59,5,2,37
0,0,71,1.69,87,2,4,20
0,2,55,1.65,73,1,1,27
0,0,24,1.92,73,2,2,52
1,0,53,1.69,60,6,1,50
1,2,56,1.67,68,2,5,48
1,1,69,1.65,80,6,4,49
1,0,26,1.96,82,1,5,16
0,0,50,1.94,56,5,0,61
1,2,54,1.45,91,6,3,10
1,2,45,1.72,54,6,5,3
0,0,26,1.71,106,2,5,41
0,0,73,1.52,60,1,6,12
0,2,36,1.92,90,2,5,17
0,1,19,1.87,54,5,1,14
1,0,48,1.54,91,5,0,37
1,2,66,1.83,80,5,2,42
0,0,33,1.84,96,0,3,28
1,2,60,1.89,72,2,6,12
0,1,32,1.88,57,1,5,20
0,1,22,1.94,106,6,1,60
1,2,57,1.61,73,4,4,43
0,2,73,1.6,63,4,2,48
0,0,33,1.79,105,5,5,8
0,0,66,1.5,63,2,5,37
0,1,22,1.89,75,4,3,2
1,1,37,1.93,81,5,1,20
0,1,43,1.49,91,0,1,27
0,1,38,1.85,83,4,3,51
0,1,34,1.47,54,1,1,29
0,0,30,1.92,100,5,2,34
0,0,35,1.95,83,3,4,16
1,0,54,2.03,96,1,0,58
0,0,36,1.55,51,5,6,21
1,2,57,1.59,72,4,2,22
1,1,48,1.82,66,4,1,35
0,1,29,1.54,58,5,5,16
0,2,35,1.74,104,3,4,39
0,1,66,1.77,95,5,2,62
0,0,21,1.76,88,2,5,43
1,0,50,1.96,65,2,4,36
0,0,47,1.83,110,4,6,20
0,0,74,1.73,90,5,6,59
1,0,66,1.53,109,6,4,60
0,1,37,2.05,95,0,2,61
0,2,49,1.91,95,5,5,50
1,1,62,1.56,92,2,6,63
0,0,53,1.46,76,5,0,23
0,2,23,1.92,103,6,5,25
1,0,43,1.59,76,4,1,50
0,0,70,1.93,75,3,5,35
0,1,25,1.56,94,3,4,62
1,1,61,1.5,59,2,3,1
1,2,68,1.74,64,5,0,37
1,0,42,2.02,63,4,1,45
0,0,39,1.58,55,4,5,64
1,1,20,1.8,101,1,5,2
0,2,29,1.54,77,2,4,17
0,2,45,2,58,4,2,20
1,1,34,1.87,88,0,0,25
0,2,42,1.79,58,1,1,42
1,1,43,1.61,96,5,3,28
0,1,51,1.78,86,0,3,54
0,1,41,1.87,102,0,1,24
1,1,47,1.83,75,5,5,55
1,0,56,1.52,55,6,5,32
1,0,42,1.59,73,0,2,46
1,0,25,1.8,76,2,6,44
1,0,55,1.49,86,2,2,59
0,0,67,1.97,76,1,5,38
0,0,51,1.98,76,5,1,65
0,2,44,1.94,86,2,2,51
1,2,70,1.73,92,4,4,43
0,2,66,1.78,66,6,5,46
0,2,64,1.98,81,5,0,57
0,2,25,1.91,86,4,6,20
0,2,32,1.63,66,2,1,20
1,2,36,2,55,6,2,66
0,1,42,1.52,62,2,0,41
0,0,49,1.92,85,0,4,42
0,0,68,1.48,90,2,6,58
1,0,51,1.9,108,1,4,58
0,2,27,1.75,57,0,6,42
1,0,73,1.63,80,2,0,64
1,1,73,1.57,96,1,0,56
0,2,72,1.5,100,4,6,46
0,2,32,1.79,64,0,0,42
1,2,50,1.94,61,0,4,26
0,0,65,1.85,59,2,2,35
1,0,42,1.54,57,0,0,57
0,2,60,1.69,69,1,2,45
0,2,49,1.5,67,4,4,59
0,2,24,1.6,104,1,2,59
0,1,32,1.85,61,6,1,24
0,1,31,1.96,91,0,6,1
1,1,47,1.59,72,5,5,27
0,0,41,1.53,69,0,1,53
1,0,71,1.75,52,0,2,31
0,1,33,1.56,65,3,1,24
1,0,39,1.6,80,3,1,53
0,0,49,1.92,95,0,1,60
1,2,22,1.62,77,0,4,7
0,0,74,1.53,99,2,2,23
0,1,37,1.83,110,4,5,67
0,0,23,1.67,70,5,3,42
0,1,69,1.53,55,5,3,10
0,2,65,1.55,66,4,5,28
1,2,69,1.6,54,5,5,8
1,2,73,1.89,81,4,1,5
1,2,60,1.86,105,6,1,60
1,2,19,1.73,89,0,1,46
0,1,70,1.99,108,1,0,37
1,1,23,1.7,86,6,1,14
1,0,43,1.83,53,5,6,12
0,1,28,1.81,78,3,3,20
0,1,61,1.95,80,1,6,61
1,1,29,1.96,53,5,1,58
1,0,24,1.72,73,1,5,36
0,0,49,1.75,54,4,0,20
1,2,68,1.7,61,4,1,56
1,1,52,1.45,110,2,4,22
1,0,36,1.76,81,2,0,16
0,1,54,1.88,90,1,6,17
1,0,61,1.94,78,2,5,1
1,0,55,1.66,51,3,3,31
1,1,54,1.78,86,0,1,43
1,1,25,1.99,108,6,4,18
1,0,74,1.85,50,1,2,31
1,2,67,1.72,89,2,3,52
1,0,30,1.46,73,4,2,11
0,1,62,1.62,55,0,2,56
1,1,58,1.97,110,3,1,26
0,0,38,1.49,72,0,3,63
1,2,47,1.51,76,6,5,15
1,1,65,2.01,106,6,5,3
0,2,38,1.51,103,1,5,16
