gender,ethnicity,age,height,weight,hair_color,eye_color,country
Female,White,53,1.84,62,White,Green,1
Male,Asian,68,2.01,85,Red,Green,1
Male,Asian,65,1.94,103,Red,Hazel,2
Female,Black,69,1.59,52,Gray,Violet,3
Female,Black,28,1.53,72,Brown,Amber,4
Female,Asian,22,1.8,68,White,Green,5
Female,White,67,1.65,74,Black,Brown,6
Female,Asian,40,1.88,105,White,Blue,7
Male,Black,64,1.51,67,Brown,Gray,5
Female,Black,44,1.6,79,Gray,Gray,8
Female,White,33,1.77,82,Red,Green,9
Female,White,55,1.93,97,Gray,Blue,10
Female,White,57,1.73,91,Auburn,Brown,11
Male,White,54,1.91,108,Brown,Blue,12
Female,Asian,19,1.51,72,Auburn,Amber,13
Female,Asian,48,1.56,95,Auburn,Brown,14
Male,Asian,74,1.64,100,Brown,Violet,9
Female,Asian,53,1.68,90,Red,Blue,15
Female,White,69,1.89,73,Auburn,Blue,16
Female,Black,19,1.76,95,Brown,Amber,17
Male,Black,43,1.66,66,Brown,Violet,18
Female,White,74,1.99,71,Gray,Hazel,19
Female,Black,68,1.97,101,White,Gray,13
Male,Black,45,1.88,60,Auburn,Blue,10
Male,Black,31,1.56,68,Brown,Gray,10
Female,White,29,1.87,70,Auburn,Violet,20
Male,Asian,40,1.88,73,Auburn,Violet,2
Male,Black,44,1.64,60,Gray,Brown,16
Female,Asian,58,1.47,68,Auburn,Gray,21
Female,White,28,1.9,66,Black,Gray,18
Female,White,30,1.47,60,Auburn,Gray,22
Female,Asian,38,2,76,Blond,Green,20
Male,Asian,62,1.97,101,Auburn,Gray,23
Male,White,65,1.51,68,Black,Hazel,24
Male,Black,61,2.05,55,Blond,Brown,25
Female,Black,56,1.8,90,White,Violet,14
Male,Asian,44,1.81,91,Auburn,Amber,26
Male,Black,42,1.45,103,White,Gray,25
Male,White,20,1.64,55,Brown,Amber,27
Male,Black,25,1.96,96,Gray,Brown,16
Female,Asian,54,1.75,104,Black,Brown,5
Male,Black,50,1.76,58,Brown,Brown,18
Male,White,52,1.76,50,Red,Blue,28
Male,Black,66,1.49,54,Gray,Blue,5
Male,Asian,62,1.8,105,White,Brown,29
Female,White,35,1.58,105,White,Blue,30
Female,Black,22,1.85,76,Red,Blue,1
Female,Black,42,1.54,85,Black,Violet,31
Female,Asian,53,2.02,57,White,Brown,13
Male,Asian,63,1.67,68,White,Amber,32
Female,Black,37,1.62,63,White,Violet,33
Male,White,39,1.99,51,Auburn,Hazel,34
Male,Black,42,1.85,64,Gray,Amber,13
Male,Black,19,1.89,99,Red,Blue,27
Male,Black,36,1.77,50,Auburn,Blue,35
Female,Asian,72,1.79,92,Blond,Brown,36
Female,White,29,1.68,69,Auburn,Gray,5
Female,Black,47,1.92,59,White,Blue,12
Male,Black,64,2.02,65,Red,Brown,37
Male,Asian,28,1.96,82,Auburn,Brown,26
Male,White,37,1.95,98,Gray,Hazel,38
Female,Black,59,1.77,64,Blond,Violet,39
Female,Black,27,1.79,87,Blond,Green,40
Male,Asian,55,1.67,96,Red,Hazel,41
Male,White,37,2.02,60,White,Amber,42
Female,Asian,68,1.66,59,Auburn,Hazel,1
Male,Asian,24,1.6,63,Red,Violet,19
Male,Black,57,1.67,63,Brown,Green,43
Male,White,21,1.68,82,Black,Brown,44
Male,Black,61,1.48,78,Blond,Brown,5
Female,Asian,65,1.89,69,White,Blue,45
Male,Asian,44,1.82,87,Red,Brown,11
Female,Asian,29,1.99,70,Red,Violet,3
Female,Asian,52,1.78,70,Blond,Green,38
Female,Asian,64,1.52,68,Black,Hazel,28
Female,Black,45,1.72,53,White,Hazel,46
Female,Asian,29,1.83,86,Blond,Gray,47
Male,Black,54,1.68,96,Brown,Violet,48
Male,White,31,1.51,84,White,Brown,2
Male,White,68,1.55,70,Blond,Blue,49
Male,Asian,23,1.93,107,Red,Hazel,33
Male,White,22,1.51,80,White,Gray,14
Female,White,64,1.88,108,Brown,Gray,5
Female,Asian,71,1.49,105,Brown,Hazel,15
Female,Black,66,1.99,51,Brown,Hazel,1
Female,Black,19,1.62,58,Auburn,Blue,50
Male,Black,70,1.56,81,Gray,Gray,43
Female,Black,33,1.52,67,White,Green,17
Male,White,38,2.03,51,Auburn,Gray,28
Male,White,58,1.68,58,Brown,Green,9
Female,Asian,69,1.59,86,White,Amber,51
Female,Black,30,2.03,70,Auburn,Brown,48
Male,Asian,35,1.76,82,Auburn,Hazel,6
Female,Black,64,1.52,105,Brown,Violet,52
Male,Asian,40,1.67,85,Red,Green,1
Female,White,37,1.5,84,Auburn,Green,53
Female,White,72,1.58,74,Auburn,Brown,41
Male,Black,61,1.54,70,Black,Hazel,54
Male,White,25,1.95,106,Auburn,Brown,41
Male,Black,38,1.46,102,Gray,Violet,55
Male,White,52,1.91,85,Black,Blue,49
Female,Black,33,1.53,68,Red,Amber,49
Female,Black,50,1.68,55,White,Gray,36
Male,Asian,72,1.65,104,Brown,Violet,35
Female,White,30,1.78,68,Blond,Amber,49
Female,Black,23,1.69,95,Red,Blue,7
Female,Asian,68,1.48,62,Brown,Violet,51
Male,White,28,1.67,71,Auburn,Hazel,26
Male,White,68,1.78,93,Blond,Amber,38
Female,White,36,1.93,58,Black,Violet,32
Male,White,20,1.87,58,Black,Hazel,56
Female,Black,33,1.79,51,Auburn,Hazel,9
Female,Asian,21,1.8,93,White,Gray,7
Male,Black,64,2,108,Black,Amber,47
Male,Black,40,1.88,84,Black,Amber,1
Male,Asian,34,2.03,77,Brown,Green,25
Male,Asian,72,1.66,90,Blond,Green,57
Male,White,61,1.66,57,Blond,Hazel,54
Female,White,46,1.78,107,Blond,Amber,11
Male,Asian,48,1.69,89,White,Violet,8
Male,Asian,65,1.73,57,White,Green,32
Male,White,38,1.55,61,Auburn,Gray,58
Female,Asian,30,1.76,51,Blond,Amber,30
Female,Asian,58,1.61,63,White,Brown,30
Male,Asian,61,1.66,54,Brown,Gray,7
Male,Black,34,1.79,68,Gray,Gray,21
Male,White,39,1.9,87,Blond,Brown,33
Male,Asian,21,1.96,58,White,Hazel,51
Female,Asian,56,1.9,78,Auburn,Green,30
Female,Black,50,1.69,54,Red,Gray,2
Female,White,31,1.71,95,Auburn,Gray,55
Female,Asian,60,1.68,65,Gray,Brown,24
Male,Asian,60,1.46,100,Brown,Amber,39
Male,Black,31,1.5,53,Auburn,Green,59
Female,Asian,63,1.52,76,Gray,Violet,52
Male,White,41,1.96,110,Gray,Hazel,23
Male,White,31,1.69,91,Black,Brown,29
Female,Black,41,1.52,89,Gray,Violet,17
Male,Black,38,1.64,88,White,Green,41
Female,Black,59,2.04,55,Black,Amber,38
Female,Black,27,1.6,90,Brown,Violet,45
Male,Asian,21,1.99,90,Red,Amber,60
Male,White,37,1.9,77,Auburn,Green,50
Male,White,66,1.78,93,Brown,Blue,24
Male,Black,34,1.85,98,Gray,Gray,61
Female,White,36,1.6,91,Gray,Amber,44
Female,Black,68,1.92,100,Red,Hazel,39
Male,Black,26,1.87,88,Gray,Gray,33
Male,White,46,1.92,84,Gray,Violet,10
Male,White,67,1.74,102,Brown,Gray,41
Male,Asian,70,1.82,93,Gray,Amber,22
Male,Asian,71,2.04,97,Red,Brown,15
Male,Asian,25,1.59,104,Blond,Green,6
Female,Asian,30,1.91,59,Auburn,Violet,38
Female,White,71,1.69,87,Gray,Brown,21
Female,Black,55,1.65,73,Red,Hazel,28
Female,White,24,1.92,73,Gray,Violet,53
Male,White,53,1.69,60,Blond,Hazel,51
Male,Black,56,1.67,68,Gray,Blue,49
Male,Asian,69,1.65,80,Blond,Brown,50
Male,White,26,1.96,82,Red,Blue,17
Female,White,50,1.94,56,Auburn,Green,62
Male,Black,54,1.45,91,Blond,Amber,11
Male,Black,45,1.72,54,Blond,Blue,4
Female,White,26,1.71,106,Gray,Blue,42
Female,White,73,1.52,60,Red,Gray,13
Female,Black,36,1.92,90,Gray,Blue,18
Female,Asian,19,1.87,54,Auburn,Hazel,15
Male,White,48,1.54,91,Auburn,Green,38
Male,Black,66,1.83,80,Auburn,Violet,43
Female,White,33,1.84,96,White,Amber,29
Male,Black,60,1.89,72,Gray,Gray,13
Female,Asian,32,1.88,57,Red,Blue,21
Female,Asian,22,1.94,106,Blond,Hazel,61
Male,Black,57,1.61,73,Black,Brown,44
Female,Black,73,1.6,63,Black,Violet,49
Female,White,33,1.79,105,Auburn,Blue,9
Female,White,66,1.5,63,Gray,Blue,38
Female,Asian,22,1.89,75,Black,Amber,3
Male,Asian,37,1.93,81,Auburn,Hazel,21
Female,Asian,43,1.49,91,White,Hazel,28
Female,Asian,38,1.85,83,Black,Amber,52
Female,Asian,34,1.47,54,Red,Hazel,30
Female,White,30,1.92,100,Auburn,Violet,35
Female,White,35,1.95,83,Brown,Brown,17
Male,White,54,2.03,96,Red,Green,59
Female,White,36,1.55,51,Auburn,Gray,22
Male,Black,57,1.59,72,Black,Violet,23
Male,Asian,48,1.82,66,Black,Hazel,36
Female,Asian,29,1.54,58,Auburn,Blue,17
Female,Black,35,1.74,104,Brown,Brown,40
Female,Asian,66,1.77,95,Auburn,Violet,63
Female,White,21,1.76,88,Gray,Blue,44
Male,White,50,1.96,65,Gray,Brown,37
Female,White,47,1.83,110,Black,Gray,21
Female,White,74,1.73,90,Auburn,Gray,60
Male,White,66,1.53,109,Blond,Brown,61
Female,Asian,37,2.05,95,White,Violet,62
Female,Black,49,1.91,95,Auburn,Blue,51
Male,Asian,62,1.56,92,Gray,Gray,64
Female,White,53,1.46,76,Auburn,Green,24
Female,Black,23,1.92,103,Blond,Blue,26
Male,White,43,1.59,76,Black,Hazel,51
Female,White,70,1.93,75,Brown,Blue,36
Female,Asian,25,1.56,94,Brown,Brown,63
Male,Asian,61,1.5,59,Gray,Amber,2
Male,Black,68,1.74,64,Auburn,Green,38
Male,White,42,2.02,63,Black,Hazel,46
Female,White,39,1.58,55,Black,Blue,65
Male,Asian,20,1.8,101,Red,Blue,3
Female,Black,29,1.54,77,Gray,Brown,18
Female,Black,45,2,58,Black,Violet,21
Male,Asian,34,1.87,88,White,Green,26
Female,Black,42,1.79,58,Red,Hazel,43
Male,Asian,43,1.61,96,Auburn,Amber,29
Female,Asian,51,1.78,86,White,Amber,55
Female,Asian,41,1.87,102,White,Hazel,25
Male,Asian,47,1.83,75,Auburn,Blue,56
Male,White,56,1.52,55,Blond,Blue,33
Male,White,42,1.59,73,White,Violet,47
Male,White,25,1.8,76,Gray,Gray,45
Male,White,55,1.49,86,Gray,Violet,60
Female,White,67,1.97,76,Red,Blue,39
Female,White,51,1.98,76,Auburn,Hazel,66
Female,Black,44,1.94,86,Gray,Violet,52
Male,Black,70,1.73,92,Black,Brown,44
Female,Black,66,1.78,66,Blond,Blue,47
Female,Black,64,1.98,81,Auburn,Green,58
Female,Black,25,1.91,86,Black,Gray,21
Female,Black,32,1.63,66,Gray,Hazel,21
Male,Black,36,2,55,Blond,Violet,67
Female,Asian,42,1.52,62,Gray,Green,42
Female,White,49,1.92,85,White,Brown,43
Female,White,68,1.48,90,Gray,Gray,59
Male,White,51,1.9,108,Red,Brown,59
Female,Black,27,1.75,57,White,Gray,43
Male,White,73,1.63,80,Gray,Green,65
Male,Asian,73,1.57,96,Red,Green,57
Female,Black,72,1.5,100,Black,Gray,47
Female,Black,32,1.79,64,White,Green,43
Male,Black,50,1.94,61,White,Brown,27
Female,White,65,1.85,59,Gray,Violet,36
Male,White,42,1.54,57,White,Green,58
Female,Black,60,1.69,69,Red,Violet,46
Female,Black,49,1.5,67,Black,Brown,60
Female,Black,24,1.6,104,Red,Violet,60
Female,Asian,32,1.85,61,Blond,Hazel,25
Female,Asian,31,1.96,91,White,Gray,2
Male,Asian,47,1.59,72,Auburn,Blue,28
Female,White,41,1.53,69,White,Hazel,54
Male,White,71,1.75,52,White,Violet,32
Female,Asian,33,1.56,65,Brown,Hazel,25
Male,White,39,1.6,80,Brown,Hazel,54
Female,White,49,1.92,95,White,Hazel,61
Male,Black,22,1.62,77,White,Brown,8
Female,White,74,1.53,99,Gray,Violet,24
Female,Asian,37,1.83,110,Black,Blue,68
Female,White,23,1.67,70,Auburn,Amber,43
Female,Asian,69,1.53,55,Auburn,Amber,11
Female,Black,65,1.55,66,Black,Blue,29
Male,Black,69,1.6,54,Auburn,Blue,9
Male,Black,73,1.89,81,Black,Hazel,6
Male,Black,60,1.86,105,Blond,Hazel,61
Male,Black,19,1.73,89,White,Hazel,47
Female,Asian,70,1.99,108,Red,Green,38
Male,Asian,23,1.7,86,Blond,Hazel,15
Male,White,43,1.83,53,Auburn,Gray,13
Female,Asian,28,1.81,78,Brown,Amber,21
Female,Asian,61,1.95,80,Red,Gray,62
Male,Asian,29,1.96,53,Auburn,Hazel,59
Male,White,24,1.72,73,Red,Blue,37
Female,White,49,1.75,54,Black,Green,21
Male,Black,68,1.7,61,Black,Hazel,57
Male,Asian,52,1.45,110,Gray,Brown,23
Male,White,36,1.76,81,Gray,Green,17
Female,Asian,54,1.88,90,Red,Gray,18
Male,White,61,1.94,78,Gray,Blue,2
Male,White,55,1.66,51,Brown,Amber,32
Male,Asian,54,1.78,86,White,Hazel,44
Male,Asian,25,1.99,108,Blond,Brown,19
Male,White,74,1.85,50,Red,Violet,32
Male,Black,67,1.72,89,Gray,Amber,53
Male,White,30,1.46,73,Black,Violet,12
Female,Asian,62,1.62,55,White,Violet,57
Male,Asian,58,1.97,110,Brown,Hazel,27
Female,White,38,1.49,72,White,Amber,64
Male,Black,47,1.51,76,Blond,Blue,16
Male,Asian,65,2.01,106,Blond,Blue,4
Female,Black,38,1.51,103,Red,Blue,17
Male,Asian,46,1.88,53,Brown,Green,8
Female,Asian,35,1.58,105,Auburn,Hazel,66
Female,Asian,25,2.01,75,Blond,Amber,11
Male,Black,45,1.7,79,Blond,Gray,57
Female,Black,36,1.55,102,Gray,Hazel,7
Male,Asian,52,1.96,64,Blond,Amber,28
Female,Black,52,1.7,77,White,Hazel,67
Female,Asian,65,1.77,106,Auburn,Brown,12
Male,White,54,1.56,96,Red,Amber,13
Male,Black,24,1.64,66,Gray,Green,43
Male,Asian,29,1.71,79,Black,Violet,34
Male,White,35,1.95,53,Black,Blue,54
Male,Black,57,1.94,82,White,Violet,11
Female,Asian,20,1.68,54,White,Brown,11
Female,Asian,55,1.66,73,Gray,Gray,10
Female,White,32,1.67,100,Brown,Blue,32
Female,Black,28,1.96,108,Red,Gray,42
Male,Black,62,1.89,75,Blond,Violet,31
Male,White,71,2.04,71,Blond,Blue,62
Female,White,59,1.89,67,Brown,Green,49
Female,White,64,1.66,101,Red,Amber,29
Female,Black,54,1.59,61,Auburn,Brown,22
Male,Asian,24,1.83,90,Brown,Hazel,21
Female,Asian,67,1.82,104,Black,Gray,39
Male,Asian,29,1.53,106,Red,Blue,23
Female,Asian,48,1.49,88,Gray,Hazel,53
Female,Black,34,1.53,73,Blond,Amber,31
Female,Black,61,1.91,97,Brown,Violet,13
Male,White,42,1.67,60,Blond,Amber,59
Female,Asian,63,1.83,92,Red,Gray,19
Male,Asian,21,1.95,51,Black,Hazel,55
Male,White,40,1.76,103,Red,Violet,48
Male,Asian,74,1.52,50,Black,Green,22
Female,White,31,1.65,51,Red,Amber,37
Female,White,72,1.81,79,Gray,Blue,68
Male,Asian,70,1.54,107,Red,Green,39
Male,Black,56,1.47,104,Gray,Blue,7
Female,Black,41,1.76,96,White,Brown,63
Male,Black,59,1.45,100,Gray,Violet,32
Female,Asian,22,1.86,104,Gray,Gray,53
Male,Asian,19,1.84,86,Auburn,Amber,45
Male,Black,50,1.87,76,Gray,Gray,50
Female,Black,41,1.61,62,Blond,Hazel,10
Female,Black,61,1.52,82,Black,Hazel,64
Female,Asian,33,1.86,87,Gray,Amber,13
Male,Black,53,1.86,84,Red,Gray,29
Male,White,29,1.61,78,Gray,Violet,47
Male,Asian,35,1.64,84,Black,Amber,49
Female,White,47,1.9,83,Black,Hazel,62
Male,Asian,70,1.49,100,Auburn,Hazel,32
Male,Black,20,1.88,56,Auburn,Brown,50
Male,Black,35,1.95,88,Brown,Brown,24
Female,Asian,60,1.72,79,Auburn,Violet,49
Male,White,53,2.02,94,Gray,Green,61
Male,White,22,1.66,89,White,Brown,5
Female,White,48,1.97,63,Brown,Amber,34
Female,Black,66,1.54,94,Gray,Blue,7
Male,Black,60,1.97,110,Gray,Gray,23
Female,White,50,1.8,107,Auburn,Green,22
Female,White,58,1.99,100,Red,Brown,24
Male,Black,71,1.87,53,White,Violet,49
Female,Asian,46,1.92,75,Blond,Brown,67
Male,Black,48,1.53,72,Gray,Hazel,2
Female,White,45,1.83,104,Black,Amber,56
Male,White,40,1.91,106,Red,Hazel,38
Male,White,67,1.82,107,White,Amber,42
Male,Asian,21,1.54,86,Black,Violet,8
Male,Asian,67,1.98,103,Black,Brown,6
Male,White,40,1.46,83,Brown,Brown,31
Male,White,40,1.95,92,Black,Brown,36
Female,Asian,33,1.96,86,Auburn,Violet,31
Female,Black,50,1.74,56,Gray,Brown,22
Female,Black,29,1.76,87,Black,Green,57
Female,Asian,69,1.7,91,Red,Amber,22
Male,White,48,1.68,57,Blond,Violet,2
Female,White,31,1.59,90,Brown,Green,9
Male,Black,26,1.88,67,Black,Gray,59
Female,White,67,1.98,68,White,Violet,18
Male,Asian,64,1.93,73,Black,Green,37
Male,White,57,1.65,103,White,Brown,23
Female,Black,52,1.9,109,White,Amber,26
Female,Asian,41,1.56,60,Gray,Green,54
Female,Asian,37,1.71,105,Auburn,Green,32
Male,White,49,1.66,90,Blond,Gray,44
Female,Asian,73,1.7,100,Auburn,Green,57
Male,Black,72,1.9,77,White,Brown,3
Female,White,27,1.6,69,Red,Blue,59
Female,Black,29,1.97,92,Gray,Blue,4
Female,White,35,1.88,106,Brown,Blue,28
Female,Black,42,1.66,65,Black,Violet,33
Female,Asian,69,1.57,104,Blond,Brown,6
Female,Asian,66,1.82,91,Blond,Brown,49
Female,Asian,65,1.85,90,Blond,Blue,9
Male,White,25,1.45,68,Red,Violet,39
Male,White,25,1.72,72,Gray,Violet,44
Female,Black,51,1.61,63,White,Violet,38
Male,Black,32,2.03,96,Brown,Hazel,4
Male,White,70,1.59,79,Black,Gray,55
Female,White,20,1.88,76,White,Amber,50
